Date,Open,High,Low,Close,Volume,Adj Close
2014-06-26,90.37,91.05,89.80,90.90,32629000,90.45
2014-06-25,90.21,90.70,89.65,90.36,36869000,89.91
2014-06-24,90.75,91.74,90.19,90.28,39036000,89.83
2014-06-23,91.32,91.62,90.60,90.83,43694000,90.38
2014-06-20,91.85,92.55,90.90,90.91,100898000,90.46
2014-06-19,92.29,92.30,91.34,91.86,35528000,91.41
2014-06-18,92.27,92.29,91.35,92.18,33514000,91.72
2014-06-17,92.31,92.70,91.80,92.08,29726000,91.62
2014-06-16,91.51,92.75,91.45,92.20,35561000,91.74
2014-06-13,92.20,92.44,90.88,91.28,54525000,90.83
2014-06-12,94.04,94.12,91.90,92.29,54749000,91.83
2014-06-11,94.13,94.76,93.47,93.86,45681000,93.40
2014-06-10,94.73,95.05,93.57,94.25,62777000,93.78
2014-06-09,92.70,93.88,91.75,93.70,75415000,93.24
2014-06-06,649.90,651.26,644.47,645.57,87484600,91.77
2014-06-05,646.20,649.37,642.61,647.35,75951400,92.02
2014-06-04,637.44,647.89,636.11,644.82,83870500,91.66
2014-06-03,628.46,638.74,628.25,637.54,73177300,90.63
2014-06-02,633.96,634.83,622.50,628.65,92337700,89.36
2014-05-30,637.98,644.17,628.90,633.00,141005200,89.98
2014-05-29,627.85,636.87,627.77,635.38,94118500,90.32
2014-05-28,626.02,629.83,623.78,624.01,78870400,88.70
2014-05-27,615.88,625.86,615.63,625.63,87216500,88.93
2014-05-23,607.25,614.73,606.47,614.13,58052400,87.30
2014-05-22,606.60,609.85,604.10,607.27,50190000,86.32
2014-05-21,603.83,606.70,602.06,606.31,49214900,86.19
2014-05-20,604.51,606.40,600.73,604.71,58709000,85.96
2014-05-19,597.85,607.33,597.33,604.59,79438800,85.94
2014-05-16,588.63,597.53,585.40,597.51,69064100,84.94
2014-05-15,594.70,596.60,588.04,588.82,57711500,83.70
2014-05-14,592.43,597.40,591.74,593.87,41601000,84.42
2014-05-13,592.00,594.54,590.70,593.76,39934300,84.40
2014-05-12,587.49,593.66,587.40,592.83,53302200,84.27
2014-05-09,584.54,586.25,580.33,585.54,72899400,83.23
2014-05-08,588.25,594.41,586.40,587.99,57574300,83.58
2014-05-07,595.25,597.29,587.73,592.33,70716100,83.73
2014-05-06,601.80,604.41,594.41,594.41,93641100,84.03
2014-05-05,590.14,601.00,590.00,600.96,71766800,84.95
2014-05-02,592.34,594.20,589.71,592.58,47878600,83.77
2014-05-01,592.00,594.80,586.36,591.48,61012000,83.61
2014-04-30,592.64,599.43,589.80,590.09,114160200,83.42
2014-04-29,593.74,595.98,589.51,592.33,84344400,83.73
2014-04-28,572.80,595.75,572.55,594.09,167371400,83.98
2014-04-25,564.53,571.99,563.96,571.94,97568800,80.85
2014-04-24,568.21,570.00,560.73,567.77,189977900,80.26
2014-04-23,529.06,531.13,524.45,524.75,98735000,74.18
2014-04-22,528.31,531.83,526.50,531.70,50640800,75.16
2014-04-21,525.34,532.14,523.96,531.17,45637200,75.09
2014-04-17,520.00,527.76,519.20,524.94,71083600,74.21
2014-04-16,518.05,521.09,514.14,519.01,53691400,73.37
2014-04-15,520.27,521.64,511.33,517.96,66622500,73.22
2014-04-14,521.90,522.16,517.21,521.68,51418500,73.74
2014-04-11,519.00,522.83,517.14,519.61,67929400,73.45
2014-04-10,530.68,532.24,523.17,523.48,59913000,74.00
2014-04-09,522.64,530.49,522.02,530.32,51542400,74.97
2014-04-08,525.19,526.12,518.70,523.44,60972100,73.99
2014-04-07,528.02,530.90,521.89,523.47,72462600,74.00
2014-04-04,539.81,540.00,530.58,531.82,68812800,75.18
2014-04-03,541.39,542.50,537.64,538.79,40586000,76.16
2014-04-02,542.38,543.48,540.26,542.55,45105200,76.70
2014-04-01,537.76,541.87,536.77,541.65,50190000,76.57
