StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
15,15,236267,,,,,0.00335392,50.79117384,408.1632653,13.88,5.47,,8.6,0.545830422,K2,1.166,258.01976,0.22655,316.26412,-8.41E-06,2.75E-05,6.84E-06
16,17,224732,,,,,0.00340663,-40.19232842,162.601626,-34.46,-26.37,,8.15,2.094375579,F3V,0.425,124.20847,0.11077,-104.93583,-1.34E-05,-2.72E-05,-1.59E-05
18,18,,,,,,0.00354261,-4.05373813,50.17561465,-127.22,23.78,,11.03,7.527536494,K5,1.567,50.05006,0.04641,-3.54701,4.37E-07,-3.09E-05,5.77E-06
19,19,224721,,,,,0.00355446,38.30408636,242.7184466,-2.5,-15.07,,6.53,-0.39551392,G5,0.955,190.46888,0.17724,150.44538,1.10E-05,-2.93E-06,-1.39E-05
20,20,224723,,,,,0.0041967,23.52928397,92.93680297,36,-22.98,,8.51,3.669061357,G0,0.516,85.20962,0.09361,37.10201,4.12E-06,1.62E-05,-9.49E-06
21,21,224724,,,,,0.00441571,8.00723437,171.2328767,61.89,-0.22,,7.55,1.382064236,K2,1.438,169.56332,0.19602,23.85242,-3.30E-08,5.14E-05,-1.80E-07
22,22,224735,,,,,0.00467572,-49.35226686,223.7136465,-7.9,0.46,,8.69,1.941537616,G8/K0III/IV,0.962,145.72842,0.17838,-169.738,3.88E-07,-8.57E-06,3.24E-07
23,23,224742,,,,,0.00496195,13.31221083,81.9000819,54.15,9.65,,7.57,3.00357832,F2V,0.456,79.69934,0.10353,18.85807,-9.10E-07,2.15E-05,3.73E-06
24,24,224746,,,,,0.00506998,-23.45274913,102.7749229,127.15,22.22,,9.05,3.990564201,G0V,0.528,94.28446,0.12514,-40.90366,4.32E-06,6.34E-05,1.02E-05
25,25,224750,9077,,,,0.00529102,-44.29029741,72.78020378,58.36,-108.64,3,6.28,1.969933664,G3IV,0.763,52.09682,0.07216,-50.82198,-2.46E-05,2.06E-05,-2.96E-05
26,26,224744,,,,,0.00562305,-13.39329686,108.8139282,-103.33,-33.35,,9.13,3.946577557,F7V,0.535,105.85439,0.15582,-25.20501,-3.99E-06,-5.45E-05,-1.71E-05
27,27,224748,,,,,0.00569798,-41.29753696,103.5196687,135.96,-113.67,,9.32,4.244885632,G5V,0.671,77.77346,0.11601,-68.31981,-3.77E-05,6.82E-05,-4.29E-05
28,28,224749,,,,,0.00581658,-43.36179962,177.3049645,-10.96,-8.69,,8.83,2.58639552,F3/F5V,0.468,128.90634,0.19629,-121.7381,-5.11E-06,-9.43E-06,-5.43E-06
29,29,224751,,,,,0.00614207,-49.10795505,350.877193,26.86,4.05,,9.14,1.4142243,G8III,1.041,229.69649,0.36935,-265.24363,5.13E-06,4.57E-05,4.51E-06
30,30,224757,,,,,0.00640904,42.14149882,263.8522427,-8.44,-10.14,,8.26,1.15319605,A0,0.142,195.64354,0.32826,177.03531,8.72E-06,-1.08E-05,-9.62E-06
32,32,224756,,,,,0.00657225,51.9394905,322.5806452,-0.39,-1.38,,9.09,1.546808469,B8,0.04,198.86852,0.34217,253.98713,1.70E-06,-6.06E-07,-1.33E-06
33,33,224743,,,,,0.00661205,-10.46245445,111.8568233,-3.62,28.71,,8.1,2.856687594,F2,0.466,109.99693,0.1904,-20.31221,2.83E-06,-1.96E-06,1.53E-05
34,34,224758,9078,,,,0.00663131,26.91823821,78.67820614,42.2,-53.47,0,6.43,1.950727753,F7.5IV-V,0.514,70.15358,0.12179,35.61908,9.20E-06,1.61E-05,-1.82E-05
35,35,224745,,,,,0.00683736,-14.49048072,167.7852349,162.25,-1.47,,9.07,2.946231299,G8/K0III/IV,0.916,162.44759,0.29078,-41.98307,-5.35E-07,0.000131969,-1.16E-06
36,36,224759,,,,,0.00688503,12.26709303,158.7301587,49.71,14.27,,7.68,1.676702747,K0,1.15,155.10574,0.27957,33.72526,-2.40E-06,3.82E-05,1.07E-05
37,37,224764,,,,,0.00702346,-47.17958382,267.3796791,-6.92,7.03,,10.44,3.304358011,F0V,0.391,181.73838,0.33416,-196.1197,6.70E-06,-8.96E-06,6.19E-06
38,38,224752,,,,,0.00740312,-79.06183133,41.94630872,162.3,-62.4,,8.65,5.536531255,G6V,0.778,7.95927,0.01542,-41.18425,-1.25E-05,3.30E-05,-2.41E-06
39,39,224763,,,,,0.00745743,-16.6969302,91.07468124,169.72,-32.54,,7.46,2.663011701,F3V,0.475,87.23461,0.17031,-26.16659,-4.27E-06,7.49E-05,-1.38E-05
40,41,224768,,,,,0.0077709,54.30223774,292.3976608,1.78,-0.47,,8.7,1.37013053,A0,0.026,170.61645,0.3471,237.45798,5.35E-07,2.52E-06,-3.88E-07
42,42,224771,,,,,0.00835911,25.84478059,156.7398119,20.7,-6.51,,8.2,2.224103394,F2,0.387,141.06209,0.3087,68.32831,2.12E-06,1.57E-05,-4.45E-06
43,43,224784,9079,,,,0.00860593,59.55973786,131.061599,-80.6,-24.07,-33,6.18,0.59262269,G9III-IV,1.032,66.40084,0.1496,112.99578,-3.80E-06,-5.12E-05,-3.68E-05
45,45,224766,,,,,0.00894696,-72.20271031,66.22516556,-37.2,-2.78,,9.59,5.484884736,G6/G8V:,,20.24168,0.04741,-63.05588,-8.21E-07,-1.19E-05,-2.72E-07
47,47,,,,,,0.00901282,-56.83524773,40.8997955,-44.21,-145.9,,10.78,7.721394317,K3V,1.15,22.3741,0.05279,-34.23726,-2.42E-05,-8.82E-06,-1.58E-05
